Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,Age,Brand,Model
Nissan X-Trail SLX AT,Hyderabad,2010,121812,1,1,0,20.7324,1995.0,5.0,7.75,14,nissan,x-trail slx at
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,2,0,0,28.392,998.0,5.0,2.25,14,maruti,zen estilo vxi bsiii
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,1,0,0,21.3408,2393.0,8.0,16.5,7,toyota,innova crysta 2.4 gx mt 8s
Ford Figo Diesel Titanium,Bangalore,2010,72000,1,0,0,31.200000000000003,1399.0,5.0,2.75,14,ford,figo diesel titanium
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,2,1,0,18.314400000000003,1796.0,5.0,26.7,9,mercedes-benz,new c-class c 200 cgi avantgarde
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,1,0,1,24.648000000000003,2148.0,5.0,10.0,13,mercedes-benz,new c-class 200 cdi classic
Tata Indica V2 eLS,Chennai,2016,178000,1,0,0,39.0,1396.0,5.0,2.5,8,tata,indica v2 els
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,1,1,0,25.818,1968.0,5.0,13.5,12,audi,a4 2.0 tdi multitronic
Honda City ZX CVT,Mumbai,2007,63000,2,1,1,25.584,1497.0,5.0,1.85,17,honda,city zx cvt
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,1,1,0,0.0,1950.0,5.0,35.67,5,mercedes-benz,c-class progressive c 220d
Maruti Ertiga SHVS VDI,Pune,2016,63000,1,0,0,38.2512,1248.0,7.0,8.15,8,maruti,ertiga shvs vdi
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,1,0,0,34.476000000000006,1396.0,5.0,10.5,6,hyundai,creta 1.4 e plus diesel
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,2,1,0,13.26,4806.0,5.0,14.5,16,porsche,cayenne 2009-2014 turbo
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,1,0,0,23.556,2179.0,7.0,9.65,9,mahindra,xuv500 w8 4wd
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,2,1,0,26.442,1197.0,5.0,3.48,12,hyundai,i10 sportz 1.2 at
Nissan Terrano XV D Pre,Kochi,2015,56066,1,0,0,30.6384,1461.0,5.0,6.92,9,nissan,terrano xv d pre
Honda Brio VX AT,Coimbatore,2016,37300,2,1,1,25.74,1198.0,5.0,6.46,8,honda,brio vx at
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,1,1,1,28.906800000000004,1968.0,5.0,29.5,10,audi,a6 2.0 tdi design edition
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,1,0,0,27.768,1399.0,5.0,2.0,16,ford,fiesta 1.4 sxi tdci
Toyota Innova 2.0 G1,Chennai,2006,230000,2,0,2,19.344,1998.0,8.0,4.5,18,toyota,innova 2.0 g1
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,1,0,0,19.968000000000004,2494.0,7.0,11.75,12,toyota,innova 2.5 vx 7 str bsiv
Hyundai Santro Xing XL,Hyderabad,2005,87591,2,0,0,26.52,1086.0,5.0,1.3,19,hyundai,santro xing xl
Maruti Swift VDI,Jaipur,2012,95100,1,0,0,35.724,1248.0,5.0,3.75,12,maruti,swift vdi
Tata Zest Revotron 1.2T XE,Pune,2017,70000,2,0,0,27.4092,1193.0,5.0,4.5,7,tata,zest revotron 1.2t xe
Honda Amaze SX i-VTEC,Kochi,2016,54944,2,0,0,28.08,1198.0,5.0,4.82,8,honda,amaze sx i-vtec
Ford Figo Diesel ZXI,Hyderabad,2012,70337,1,0,0,31.200000000000003,1399.0,5.0,2.8,12,ford,figo diesel zxi
Maruti Ritz VDi,Jaipur,2013,99638,1,0,0,36.192,1248.0,5.0,3.11,11,maruti,ritz vdi
Honda City i VTEC E,Delhi,2009,52000,2,0,0,27.768,1497.0,5.0,3.25,15,honda,city i vtec e
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,1,1,1,26.0988,1995.0,5.0,13.9,13,bmw,5 series 2003-2012 525d
Hyundai i10 Sportz 1.2,Pune,2009,95980,2,0,0,31.7616,1197.0,5.0,2.25,15,hyundai,i10 sportz 1.2
Hyundai Grand i10 Sportz,Bangalore,2016,16000,2,0,0,29.484,1197.0,5.0,5.75,8,hyundai,grand i10 sportz
Hyundai Santro Xing XO,Hyderabad,2007,73745,2,0,0,26.52,1086.0,5.0,2.1,17,hyundai,santro xing xo
Honda Amaze SX i-VTEC,Mumbai,2016,18949,2,0,0,27.768,1198.0,5.0,5.0,8,honda,amaze sx i-vtec
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,1,0,0,20.28,2982.0,7.0,16.5,10,toyota,fortuner 4x2 manual
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,1,1,0,27.5808,1968.0,5.0,39.58,6,audi,a6 2011-2015 35 tdi premium
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,1,0,0,35.412,1498.0,5.0,5.5,11,ford,ecosport 1.5 dv5 mt titanium optional
Mahindra XUV500 W8 2WD,Delhi,2014,58000,1,0,0,23.556,2179.0,7.0,8.1,10,mahindra,xuv500 w8 2wd
Honda Amaze SX i-DTEC,Kolkata,2015,30000,1,0,0,40.248000000000005,1498.0,5.0,3.5,9,honda,amaze sx i-dtec
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,1,0,0,34.4292,1199.0,5.0,2.79,11,volkswagen,polo diesel highline 1.2l
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,1,0,0,25.272,1493.0,5.0,3.45,14,hyundai,verna transform sx vgt crdi
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,2,0,0,29.484,998.0,5.0,4.45,8,maruti,wagon r vxi bs iv
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,2,0,0,23.8056,1598.0,5.0,2.65,14,volkswagen,polo petrol highline 1.6l
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,1,0,1,35.88,1396.0,5.0,3.8,13,hyundai,i20 1.4 crdi sportz
Hyundai i20 Asta 1.2,Mumbai,2014,30180,2,0,0,28.86,1197.0,5.0,4.65,10,hyundai,i20 asta 1.2
Datsun GO Plus T Petrol,Pune,2017,32851,2,0,0,30.9348,1198.0,7.0,3.95,7,datsun,go plus t petrol
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,1,1,0,23.3064,2967.0,5.0,9.8,14,audi,a4 3.0 tdi quattro premium
Hyundai i20 2015-2017 Asta,Pune,2009,66000,2,0,1,26.52,1197.0,5.0,2.7,15,hyundai,i20 2015-2017 asta
Maruti Omni 5 Str STD,Coimbatore,2010,93850,2,0,0,21.84,796.0,5.0,2.41,14,maruti,omni 5 str std
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,2,0,0,27.6276,1197.0,5.0,3.9,10,toyota,etios liva 1.2 g
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,1,1,1,22.9944,2993.0,5.0,24.0,13,jaguar,xf 3.0 litre s premium luxury
Mahindra XUV500 W8 2WD,Delhi,2012,65000,1,0,1,24.96,2179.0,7.0,5.75,12,mahindra,xuv500 w8 2wd
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,1,1,0,34.8192,1582.0,5.0,5.25,10,hyundai,verna 1.6 sx crdi (o) at
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,1,1,0,17.7216,2755.0,7.0,19.25,7,toyota,innova crysta 2.8 zx at
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,2,0,0,23.556,1196.0,5.0,3.91,7,maruti,eeco 5 seater ac
Tata Nano Twist XT,Bangalore,2014,25500,2,0,0,39.624,624.0,4.0,2.15,10,tata,nano twist xt
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,1,1,0,35.3964,1995.0,5.0,20.75,9,bmw,3 series 320d luxury line
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,2,0,0,21.06,1799.0,5.0,3.35,14,honda,civic 2006-2010 1.8 v mt
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,1,0,0,20.2644,2494.0,7.0,11.11,10,toyota,innova 2.5 vx (diesel) 7 seater
Volvo V40 Cross Country D3,Bangalore,2014,32700,1,1,0,36.348,1984.0,5.0,20.0,10,volvo,v40 cross country d3
Nissan Micra XV CVT,Coimbatore,2016,39882,2,1,0,29.874,1198.0,5.0,6.55,8,nissan,micra xv cvt
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,2,1,0,16.848000000000003,2497.0,5.0,7.0,15,bmw,5 series 2010-2013 525i
Maruti Vitara Brezza VDi,Mumbai,2016,55000,1,0,0,37.908,1248.0,5.0,7.5,8,maruti,vitara brezza vdi
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,2,0,1,26.52,1086.0,5.0,0.85,19,hyundai,santro xing xl erlx euro iii
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,1,1,1,23.4,2143.0,5.0,16.75,10,mercedes-benz,b class b200 cdi
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,1,0,0,34.32,1582.0,5.0,10.95,6,hyundai,verna crdi 1.6 sx option
Maruti Wagon R LXI BS IV,Pune,2011,43874,2,0,0,29.484,998.0,5.0,2.45,13,maruti,wagon r lxi bs iv
Tata Nano XTA,Coimbatore,2017,32684,2,1,0,34.164,624.0,4.0,3.23,7,tata,nano xta
Mahindra Scorpio VLX,Kolkata,2014,42000,1,0,0,18.798,2179.0,8.0,7.75,10,mahindra,scorpio vlx
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,2,1,0,18.252,1796.0,5.0,9.35,15,mercedes-benz,new c-class 200 k at
Maruti Wagon R LXI CNG,Pune,2013,89900,0,0,0,26.6,998.0,5.0,3.25,11,maruti,wagon r lxi cng
Honda CR-V 2.4 MT,Bangalore,2007,47700,2,0,1,16.848000000000003,2354.0,5.0,5.25,17,honda,cr-v 2.4 mt
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,1,1,0,33.0876,1498.0,5.0,7.25,9,volkswagen,vento 1.5 tdi comfortline at
Maruti Ciaz VXi Plus,Kochi,2017,44285,2,0,0,32.3388,1373.0,5.0,7.47,7,maruti,ciaz vxi plus
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,1,1,0,24.96,2179.0,7.0,13.25,8,mahindra,xuv500 at w10 fwd
Maruti Ritz VXI ABS,Coimbatore,2016,30232,2,0,0,32.916000000000004,1197.0,5.0,5.81,8,maruti,ritz vxi abs
Maruti Alto K10 VXI,Hyderabad,2014,88500,2,0,0,37.5492,998.0,5.0,2.6,10,maruti,alto k10 vxi
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,2,1,0,29.64,2996.0,2.0,54.0,7,mercedes-benz,slc 43 amg
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,2,1,0,26.52,1591.0,5.0,11.5,5,hyundai,verna vtvt 1.6 at sx plus
Maruti Alto LXi BSIII,Chennai,2010,94385,2,0,1,30.732,796.0,5.0,1.6,14,maruti,alto lxi bsiii
BMW 1 Series 118d Base,Coimbatore,2015,31821,1,1,0,32.1048,1995.0,5.0,17.22,9,bmw,1 series 118d base
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,2,1,0,29.64,1199.0,5.0,6.0,9,honda,jazz 1.2 v cvt i vtec
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,2,0,0,21.06,1799.0,5.0,3.95,12,honda,civic 2006-2010 1.8 v mt
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,1,1,0,30.0612,2143.0,5.0,17.95,10,mercedes-benz,new c-class c 220 cdi avantgarde
Honda Amaze SX i-DTEC,Kolkata,2014,45044,1,0,0,40.248000000000005,1498.0,5.0,3.7,10,honda,amaze sx i-dtec
Maruti Swift VVT VXI,Kochi,2016,34204,2,0,0,34.32,1197.0,5.0,5.43,8,maruti,swift vvt vxi
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,2,0,2,26.52,1086.0,5.0,1.67,16,hyundai,santro xing xo erlx euro ii
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,1,0,0,17.94,2982.0,7.0,13.49,12,toyota,fortuner 3.0 diesel
Chevrolet Beat LT Option,Pune,2014,38800,2,0,0,29.016,1199.0,5.0,2.85,10,chevrolet,beat lt option
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,1,0,0,32.9784,1498.0,5.0,4.75,11,skoda,rapid 1.5 tdi elegance
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,2,0,0,32.3388,1373.0,5.0,9.9,6,maruti,ciaz 1.4 alpha
Audi RS5 Coupe,Mumbai,2013,23000,2,1,0,17.238000000000003,2894.0,4.0,37.0,11,audi,rs5 coupe
BMW 3 Series Luxury Line,Mumbai,2014,48000,1,1,0,33.945600000000006,1995.0,5.0,26.5,10,bmw,3 series luxury line
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,1,1,0,26.6916,1968.0,5.0,23.32,9,audi,a4 2.0 tdi 177 bhp premium plus
Maruti Swift VDI,Chennai,2016,35000,1,0,0,35.724,1248.0,5.0,6.25,8,maruti,swift vdi
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,2,1,0,12.1836,5461.0,5.0,30.0,14,mercedes-benz,s class 2005 2013 s 500
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,1,1,0,33.7896,1498.0,5.0,9.86,8,skoda,rapid 1.5 tdi at elegance plus black package
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,1,1,0,26.832,1968.0,5.0,8.5,12,skoda,superb elegance 2.0 tdi cr at
Hyundai EON Magna Plus,Kochi,2019,14322,2,0,0,32.916000000000004,814.0,5.0,4.23,5,hyundai,eon magna plus
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,1,0,0,34.4292,1199.0,5.0,3.5,12,volkswagen,polo diesel trendline 1.2l
Datsun GO NXT,Kolkata,2016,6000,2,0,0,32.1828,1198.0,5.0,2.5,8,datsun,go nxt
Honda Brio S MT,Kolkata,2013,33280,2,0,0,30.264,1198.0,5.0,2.39,11,honda,brio s mt
Mercedes-Benz B Class B180,Delhi,2013,29000,2,1,0,23.088,1595.0,5.0,11.25,11,mercedes-benz,b class b180
Honda City i DTEC V,Kochi,2015,42831,1,0,0,40.56,1498.0,5.0,7.11,9,honda,city i dtec v
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,1,0,0,20.2644,2494.0,7.0,10.9,8,toyota,innova 2.5 g (diesel) 7 seater
Maruti Swift VXI Optional,Ahmedabad,2017,24005,2,0,0,31.824,1197.0,5.0,6.2,7,maruti,swift vxi optional
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,1,0,0,23.556,2179.0,7.0,7.9,12,mahindra,xuv500 w8 2wd
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,1,0,0,35.412,1498.0,5.0,4.42,10,ford,ecosport 1.5 dv5 mt ambiente
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,1,0,0,20.28,2982.0,7.0,13.5,12,toyota,fortuner 4x2 manual
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,1,1,0,33.54,1498.0,5.0,6.25,11,volkswagen,vento 1.5 highline plus at 16 alloy
Ford Figo Diesel Titanium,Jaipur,2010,66123,1,0,1,31.200000000000003,1399.0,5.0,2.1,14,ford,figo diesel titanium
BMW X5 xDrive 30d,Mumbai,2015,41000,1,1,0,23.868,2993.0,5.0,45.0,9,bmw,x5 xdrive 30d
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,1,1,0,30.0612,2143.0,5.0,33.66,7,mercedes-benz,new c-class c 220 cdi style
Honda Brio V MT,Bangalore,2012,45000,2,0,1,30.264,1198.0,5.0,3.65,12,honda,brio v mt
Hyundai i10 Magna 1.2,Delhi,2013,60000,2,0,0,31.7616,1197.0,5.0,2.75,11,hyundai,i10 magna 1.2
Mercedes-Benz GLC 220,Bangalore,2016,44414,1,1,0,27.924,2143.0,5.0,42.5,8,mercedes-benz,glc 220
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,2,0,0,29.484,1197.0,5.0,6.5,5,hyundai,grand i10 1.2 kappa asta
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,1,1,1,27.5808,1968.0,5.0,19.0,12,audi,a6 2011-2015 2.0 tdi premium plus
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,2,1,1,22.464,1598.0,5.0,4.45,11,volkswagen,vento petrol highline at
Mini Countryman Cooper D,Jaipur,2017,8525,1,1,1,25.896000000000004,1998.0,5.0,23.0,7,mini,countryman cooper d
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,1,0,0,35.1624,1396.0,5.0,8.35,10,hyundai,i20 asta 1.4 crdi
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,1,1,0,27.5808,1968.0,5.0,22.95,10,audi,a6 2011-2015 2.0 tdi premium plus
Chevrolet Beat Diesel LT,Jaipur,2012,88000,1,0,0,39.686400000000006,936.0,5.0,1.5,12,chevrolet,beat diesel lt
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,2,1,0,21.372,1798.0,5.0,6.89,12,skoda,superb elegance 1.8 tsi at
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,1,0,1,27.768,1399.0,5.0,1.45,18,ford,fiesta 1.4 tdci exi limited edition
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,1,1,0,35.0688,1995.0,5.0,33.5,10,bmw,5 series 520d luxury line
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,2,0,0,20.124,1598.0,5.0,1.25,17,chevrolet,optra magnum 1.6 ls bs3
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,1,0,0,34.4292,1199.0,5.0,4.2,12,volkswagen,polo diesel highline 1.2l
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,1,0,0,31.1688,1461.0,8.0,6.75,9,renault,lodgy 110ps rxz 8 seater
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,1,1,0,20.28,2143.0,5.0,32.0,10,mercedes-benz,e-class e250 cdi avantgrade
Maruti Baleno Alpha,Kochi,2017,24773,2,0,0,33.384,1197.0,5.0,7.5,7,maruti,baleno alpha
Hyundai Verna 1.6 SX,Delhi,2012,62000,1,0,0,34.8192,1582.0,5.0,4.6,12,hyundai,verna 1.6 sx
Hyundai i10 Magna 1.1,Kochi,2017,52340,2,0,0,30.9036,1086.0,5.0,4.04,7,hyundai,i10 magna 1.1
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,1,0,0,24.024,1997.0,7.0,10.31,8,mahindra,scorpio 1.99 s10 4wd
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,1,1,0,19.812,2179.0,5.0,55.76,6,land,rover range rover 2.2l dynamic
